bloque,fecha,e_wh,area_m2,KPI01_kwh_m2
15,2026-03-08,197734.64430727065,7780.01,0.025415731381742523
15,2026-03-09,779192.7969924808,7780.01,0.10015318707719922
15,2026-03-10,821891.5807243288,7780.01,0.10564145556680887
15,2026-03-11,843721.2108479738,7780.01,0.10844731701475625
15,2026-03-12,697798.3747541606,7780.01,0.0896911925247089
17,2026-02-10,155322.0216666665,7611.12,0.020407249086424405
17,2026-02-11,170310.80000000075,7611.12,0.022376575326627453
17,2026-02-12,176122.79166666605,7611.12,0.0231401937778758
17,2026-02-13,250924.86500000022,7611.12,0.032968191934958355
17,2026-02-14,212088.68500000052,7611.12,0.027865634098529588
17,2026-02-15,143817.30833333358,7611.12,0.01889568267657501
17,2026-02-16,185414.7716666665,7611.12,0.02436103643966545
17,2026-02-17,206206.32333333418,7611.12,0.02709276996464833
17,2026-02-18,209463.5,7611.12,0.02752071968383103
17,2026-02-19,170720.76999999955,7611.12,0.022430439935252573
17,2026-02-20,158516.44666666538,7611.12,0.020826954070710408
17,2026-02-21,101018.95833333395,7611.12,0.013272548367826806
17,2026-02-22,57066.21166666597,7611.12,0.007497741681469478
17,2026-02-23,164901.16666666605,7611.12,0.021665821412179292
17,2026-02-24,209453.72000000067,7611.12,0.027519434721828148
17,2026-02-25,175831.6583333332,7611.12,0.023101942727658115
17,2026-02-26,172237.625,7611.12,0.02262973452001808
17,2026-02-27,178552.96499999985,7611.12,0.02345948625169487
17,2026-02-28,83618.49666666612,7611.12,0.01098635899403322
17,2026-03-01,52747.520000001416,7611.12,0.006930323001082812
17,2026-03-02,180069.00688405894,7611.12,0.023658674003833726
17,2026-03-03,180472.01878149062,7611.12,0.02371162441026953
17,2026-03-04,179960.17241633497,7611.12,0.023644374601416742
17,2026-03-05,172490.12905144505,7611.12,0.022662910196061165
17,2026-03-06,171243.0684063118,7611.12,0.022499063003383446
17,2026-03-07,111067.23765295371,7611.12,0.014592758707385209
17,2026-03-08,201161.17178552598,7611.12,0.026429904112078902
17,2026-03-09,170859.22038728558,7611.12,0.022448630475841346
17,2026-03-10,247082.34245556965,7611.12,0.03246333554793114
17,2026-03-11,163957.01245225407,7611.12,0.021541772098226553
17,2026-03-12,95727.23151821084,7611.12,0.012577285802642823
18,2026-02-10,766594.6400000006,35916.8,0.021343623039914484
18,2026-02-11,787561.4399999976,35916.8,0.02192738328581604
18,2026-02-12,765678.9666666836,35916.8,0.021318128749406504
18,2026-02-13,780585.6000000089,35916.8,0.021733161083392977
18,2026-02-14,594762.1565217227,35916.8,0.016559441724255018
18,2026-02-15,470389.0852174014,35916.8,0.01309663124825712
18,2026-02-16,788874.1495652199,35916.8,0.021963931908333144
18,2026-02-17,948714.0799999982,35916.8,0.02641421507483958
18,2026-02-18,99934485.064,35916.8,2.7823883270224514
18,2026-02-19,830404.304,35916.8,0.02312021961867427
18,2026-02-20,820462.4440000001,35916.8,0.02284341711956522
18,2026-02-21,546538.9658333333,35916.8,0.015216805668470836
18,2026-02-22,620347.898,35916.8,0.017271803111635783
18,2026-02-23,979963.2166666668,35916.8,0.027284257413429557
18,2026-02-24,906954.7200000007,35916.8,0.025251545794725605
18,2026-02-25,960956.4283333328,35916.8,0.026755068055431794
18,2026-02-26,847822.9666666668,35916.8,0.023605192184901404
18,2026-02-27,871071.520833333,35916.8,0.024252481313294418
18,2026-02-28,575710.7208695645,35916.8,0.016029009290069392
18,2026-03-01,578589.6799999997,35916.8,0.016109165627227362
18,2026-03-02,792839.7440476175,35916.8,0.022074342481724914
18,2026-03-03,874757.7488929611,35916.8,0.02435511373209643
18,2026-03-04,888369.4171190597,35916.8,0.024734091486965978
18,2026-03-05,830813.7468421459,35916.8,0.02313161937706438
18,2026-03-06,877330.9155978188,35916.8,0.024426756158617103
18,2026-03-07,639334.6517857146,35916.8,0.017800434665274034
18,2026-03-08,419769.7182224244,35916.8,0.011687280554571241
18,2026-03-09,807791.6064303983,35916.8,0.02249063408851563
18,2026-03-10,860905.0950397868,35916.8,0.02396942642551081
18,2026-03-11,909360.7962184865,35916.8,0.025318536067202156
18,2026-03-12,642369.3414983079,35916.8,0.01788492687261415
